file_id,source_id,required_for_current_pipeline,relative_path,expected_size_bytes,file_type,reader_function,target_name,notes
nss0708edu_block3,nss_2007_education,true,data/raw/nss_2007_education_64/Block-3  Household  characteristics.sav,28283894,sav,haven::read_sav,raw_nss_2007_education,Block 3 household characteristics
nss0708edu_block4,nss_2007_education,true,data/raw/nss_2007_education_64/Block-4  Demographic and other particulars of household members.sav,145117864,sav,read_sav_short,raw_nss_2007_education,Block 4 demographic/person records
nss0708edu_block5,nss_2007_education,true,data/raw/nss_2007_education_64/Block-5  Education particulars of those aged 5-29 years who are currently attending primary level and above.sav,38109654,sav,read_sav_short,raw_nss_2007_education,Block 5 schooling details
nss0708edu_block6,nss_2007_education,true,data/raw/nss_2007_education_64/Block-6  Particulars of private expend.sav,34841313,sav,haven::read_sav,raw_nss_2007_education,Block 6 private expenditure
nss0708edu_metadata,nss_2007_education,true,data/raw/nss_2007_education_64/DDI Metadata from Nesstar XML.xlsx,,xlsx,readxl::read_xlsx,district_keys_2007,District/region/state code labels
nss0708cons_hhchar,nss_2007_consumption,true,data/raw/nss_2007_consumption_64/Household Characteristics.sav,18094126,sav,haven::read_sav,raw_nss_2007_consumption,Baseline consumption household characteristics
nss1718edu_block3,nss_2017_education,true,data/raw/nss_2017_education_75/Block 3 - Household characteristics.sav,42411683,sav,read_sav_short,raw_nss_2017_education,2017-18 household characteristics
nss1718_districts,nss_2017_education,true,data/raw/nss_2017_education_75/List of Districts NSS 2017-18.csv,20472,csv,read_csv_short,district_keys_2017,District labels
nss1718_state_codes,nss_2017_education,true,data/raw/nss_2017_education_75/State Codes.csv,549,csv,read_csv_short,district_keys_2017,State code labels
census2001_c16_01,census_2001_mother_tongue,true,data/raw/census_2001_mother_tongue/PC01_C16_01.xls,,xls,readxl::read_excel,raw_census_2001,Census C-16 mother tongue file
census2001_c16_02,census_2001_mother_tongue,true,data/raw/census_2001_mother_tongue/PC01_C16_02.xls,,xls,readxl::read_excel,raw_census_2001,Census C-16 mother tongue file
census2001_c16_03,census_2001_mother_tongue,true,data/raw/census_2001_mother_tongue/PC01_C16_03.xls,,xls,readxl::read_excel,raw_census_2001,Census C-16 mother tongue file
census2001_c16_04,census_2001_mother_tongue,true,data/raw/census_2001_mother_tongue/PC01_C16_04.xls,,xls,readxl::read_excel,raw_census_2001,Census C-16 mother tongue file
census2001_c16_05,census_2001_mother_tongue,true,data/raw/census_2001_mother_tongue/PC01_C16_05.xls,,xls,readxl::read_excel,raw_census_2001,Census C-16 mother tongue file
census2001_c16_06,census_2001_mother_tongue,true,data/raw/census_2001_mother_tongue/PC01_C16_06.xls,,xls,readxl::read_excel,raw_census_2001,Census C-16 mother tongue file
census2001_c16_07,census_2001_mother_tongue,true,data/raw/census_2001_mother_tongue/PC01_C16_07.xls,,xls,readxl::read_excel,raw_census_2001,Census C-16 mother tongue file
census2001_c16_08,census_2001_mother_tongue,true,data/raw/census_2001_mother_tongue/PC01_C16_08.xls,,xls,readxl::read_excel,raw_census_2001,Census C-16 mother tongue file
census2001_c16_09,census_2001_mother_tongue,true,data/raw/census_2001_mother_tongue/PC01_C16_09.xls,,xls,readxl::read_excel,raw_census_2001,Census C-16 mother tongue file
census2001_c16_10,census_2001_mother_tongue,true,data/raw/census_2001_mother_tongue/PC01_C16_10.xls,,xls,readxl::read_excel,raw_census_2001,Census C-16 mother tongue file
census2001_c16_11,census_2001_mother_tongue,true,data/raw/census_2001_mother_tongue/PC01_C16_11.xls,,xls,readxl::read_excel,raw_census_2001,Census C-16 mother tongue file
census2001_c16_12,census_2001_mother_tongue,true,data/raw/census_2001_mother_tongue/PC01_C16_12.xls,,xls,readxl::read_excel,raw_census_2001,Census C-16 mother tongue file
census2001_c16_13,census_2001_mother_tongue,true,data/raw/census_2001_mother_tongue/PC01_C16_13.xls,,xls,readxl::read_excel,raw_census_2001,Census C-16 mother tongue file
census2001_c16_14,census_2001_mother_tongue,true,data/raw/census_2001_mother_tongue/PC01_C16_14.xls,,xls,readxl::read_excel,raw_census_2001,Census C-16 mother tongue file
census2001_c16_15,census_2001_mother_tongue,true,data/raw/census_2001_mother_tongue/PC01_C16_15.xls,,xls,readxl::read_excel,raw_census_2001,Census C-16 mother tongue file
census2001_c16_16,census_2001_mother_tongue,true,data/raw/census_2001_mother_tongue/PC01_C16_16.xls,,xls,readxl::read_excel,raw_census_2001,Census C-16 mother tongue file
census2001_c16_17,census_2001_mother_tongue,true,data/raw/census_2001_mother_tongue/PC01_C16_17.xls,,xls,readxl::read_excel,raw_census_2001,Census C-16 mother tongue file
census2001_c16_18,census_2001_mother_tongue,true,data/raw/census_2001_mother_tongue/PC01_C16_18.xls,,xls,readxl::read_excel,raw_census_2001,Census C-16 mother tongue file
census2001_c16_19,census_2001_mother_tongue,true,data/raw/census_2001_mother_tongue/PC01_C16_19.xls,,xls,readxl::read_excel,raw_census_2001,Census C-16 mother tongue file
census2001_c16_20,census_2001_mother_tongue,true,data/raw/census_2001_mother_tongue/PC01_C16_20.xls,,xls,readxl::read_excel,raw_census_2001,Census C-16 mother tongue file
census2001_c16_21,census_2001_mother_tongue,true,data/raw/census_2001_mother_tongue/PC01_C16_21.xls,,xls,readxl::read_excel,raw_census_2001,Census C-16 mother tongue file
census2001_c16_22,census_2001_mother_tongue,true,data/raw/census_2001_mother_tongue/PC01_C16_22.xls,,xls,readxl::read_excel,raw_census_2001,Census C-16 mother tongue file
census2001_c16_23,census_2001_mother_tongue,true,data/raw/census_2001_mother_tongue/PC01_C16_23.xls,,xls,readxl::read_excel,raw_census_2001,Census C-16 mother tongue file
census2001_c16_24,census_2001_mother_tongue,true,data/raw/census_2001_mother_tongue/PC01_C16_24.xls,,xls,readxl::read_excel,raw_census_2001,Census C-16 mother tongue file
census2001_c16_25,census_2001_mother_tongue,true,data/raw/census_2001_mother_tongue/PC01_C16_25.xls,,xls,readxl::read_excel,raw_census_2001,Census C-16 mother tongue file
census2001_c16_26,census_2001_mother_tongue,true,data/raw/census_2001_mother_tongue/PC01_C16_26.xls,,xls,readxl::read_excel,raw_census_2001,Census C-16 mother tongue file
census2001_c16_27,census_2001_mother_tongue,true,data/raw/census_2001_mother_tongue/PC01_C16_27.xls,,xls,readxl::read_excel,raw_census_2001,Census C-16 mother tongue file
census2001_c16_28,census_2001_mother_tongue,true,data/raw/census_2001_mother_tongue/PC01_C16_28.xls,,xls,readxl::read_excel,raw_census_2001,Census C-16 mother tongue file
census2001_c16_29,census_2001_mother_tongue,true,data/raw/census_2001_mother_tongue/PC01_C16_29.xls,,xls,readxl::read_excel,raw_census_2001,Census C-16 mother tongue file
census2001_c16_30,census_2001_mother_tongue,true,data/raw/census_2001_mother_tongue/PC01_C16_30.xls,,xls,readxl::read_excel,raw_census_2001,Census C-16 mother tongue file
census2001_c16_31,census_2001_mother_tongue,true,data/raw/census_2001_mother_tongue/PC01_C16_31.xls,,xls,readxl::read_excel,raw_census_2001,Census C-16 mother tongue file
census2001_c16_32,census_2001_mother_tongue,true,data/raw/census_2001_mother_tongue/PC01_C16_32.xls,,xls,readxl::read_excel,raw_census_2001,Census C-16 mother tongue file
census2001_c16_33,census_2001_mother_tongue,true,data/raw/census_2001_mother_tongue/PC01_C16_33.xls,,xls,readxl::read_excel,raw_census_2001,Census C-16 mother tongue file
census2001_c16_34,census_2001_mother_tongue,true,data/raw/census_2001_mother_tongue/PC01_C16_34.xls,,xls,readxl::read_excel,raw_census_2001,Census C-16 mother tongue file
census2001_c16_35,census_2001_mother_tongue,true,data/raw/census_2001_mother_tongue/PC01_C16_35.xls,,xls,readxl::read_excel,raw_census_2001,Census C-16 mother tongue file
district_boundaries_2020_shp,district_boundaries_2020,true,data/raw/district_boundaries_2020/district/in_district.shp,59238080,shp,sf::st_read,raw_boundaries_2020,District shapefile component
district_boundaries_2020_shx,district_boundaries_2020,true,data/raw/district_boundaries_2020/district/in_district.shx,,shx,sf::st_read,raw_boundaries_2020,District shapefile component
district_boundaries_2020_dbf,district_boundaries_2020,true,data/raw/district_boundaries_2020/district/in_district.dbf,,dbf,sf::st_read,raw_boundaries_2020,District shapefile component
district_boundaries_2020_prj,district_boundaries_2020,true,data/raw/district_boundaries_2020/district/in_district.prj,,prj,sf::st_read,raw_boundaries_2020,District shapefile component
district_changes_alluvial,district_changes,true,data/raw/district_changes/Time series- State and Districts Changes -Alluvial 1951-2024.xlsx,64960,xlsx,readxl::read_xlsx,raw_district_changes,Primary alluvial district-change source
district_changes_carveouts,district_changes,true,data/raw/district_changes/District Carve-Outs and Renamings 1961-2001.csv,12737,csv,readr::read_csv,raw_district_changes,Carve-out/renaming source
district_changes_tracker,district_changes,true,data/raw/district_changes/IndiaDistrictTracker2001to2020.ods,111057,ods,readODS::read_ods,raw_district_changes,Tracker source
district_changes_new_districts,district_changes,true,data/raw/district_changes/New Districts Created between 1951-2024.xlsx,29535,xlsx,readxl::read_xlsx,raw_district_changes,Validation source
district_changes_name_changes,district_changes,true,data/raw/district_changes/Name Changes_Districts_Indian States_1951-2021.xlsx,18606,xlsx,readxl::read_xlsx,raw_district_changes,Validation source
district_changes_splits,district_changes,true,data/raw/district_changes/District Splits and Carve outs-decadewise  1951-2024.xlsx,41924,xlsx,readxl::read_xlsx,raw_district_changes,Validation source
ilo_real_earnings,ilo_figures,true,assets/ilo_figures/average_monthly_real_earnings_total.png,194963,png,magick::image_read,raw_ilo_figures,Static ILO image asset
ilo_lfpr_wpr_unemp,ilo_figures,true,assets/ilo_figures/lfpr_wpr_unemployment_all.png,127346,png,magick::image_read,raw_ilo_figures,Static ILO image asset
ilo_unemp_education,ilo_figures,true,assets/ilo_figures/unemployment_rate_by_general_education.png,137572,png,magick::image_read,raw_ilo_figures,Static ILO image asset
